Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.19	Patient20	0	0	0	3	1	4	0	8	0	1738		4602.991944764097		19.0		5559.416261292564		12344.236204445102	SRSF6	0.0	81.0		0.09876543209876543	-0.6	0.0	0.0						
PB.161551.19	Patient21	0	0	0	9	8	8	0	25	0	1328		18825.30120481928		8.0		5559.416261292564		12344.236204445102	SRSF6	0.0	122.0		0.20491803278688525	0.0	0.0	0.0						
PB.161551.19	Patient22	0	0	0	1	0	0	0	1	0	2106		474.8338081671415		26.0		5559.416261292564		12344.236204445102	SRSF6	0.0	43.0		0.023255813953488372		0.0	0.0						
PB.161551.19	Patient23	0	0	0	1	2	1	0	4	0	1159		3451.251078515962		21.0		5559.416261292564		12344.236204445102	SRSF6	0.0	18.0		0.2222222222222222	0.3333333333333333	0.0	0.0						
PB.161551.19	Patient24	0	0	0	1	3	1	0	5	0	1661		3010.2347983142686		23.0		5559.416261292564		12344.236204445102	SRSF6	0.0	41.0		0.12195121951219512	0.5	0.0	0.0						
PB.161551.19	Patient25	0	0	0	18	12	15	0	45	0	1946		23124.357656731758		5.0		5559.416261292564		12344.236204445102	SRSF6	0.0	346.0		0.13005780346820808	-0.1111111111111111	1.4243754403554867	0.8953803985521649						
PB.161551.19	Patient26	0	0	0	20	9	16	0	45	0	1469		30633.08373042886		3.0		5559.416261292564		12344.236204445102	SRSF6	0.0	201.0		0.22388059701492538	-0.28	3.5550332703853345	2.234738831013126					1.0	
PB.161551.19	Patient27	0	0	0	4	2	2	0	8	0	1439		5559.416261292564		16.0		5559.416261292564		12344.236204445102	SRSF6	0.0	45.0		0.17777777777777778	0.0	0.0	0.0						
PB.161551.19	Patient28	0	0	0	0	0	0	0	0	0	1202		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	165.0		0.0		0.0	0.0						
PB.161551.19	Patient29	0	0	0	0	0	0	0	0	0	1857		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	35.0		0.0		0.0	0.0						
PB.161551.19	Patient3	0	0	0	7	7	9	0	23	0	2019		11391.778107974244		10.0		5559.416261292564		12344.236204445102	SRSF6	0.0	172.0		0.13372093023255813	-0.125	1.2877123795494492	0.8094722718146459					2.0	
PB.161551.19	Patient30	0	0	0	0	0	0	0	0	0	1808		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	127.0		0.0		0.0	0.0						
PB.161551.19	Patient31	0	0	0	22	15	16	0	53	0	1858		28525.29601722282		4.0		5559.416261292564		12344.236204445102	SRSF6	0.0	125.0		0.424	-0.03225806451612903	0.43330808541838456	0.272382937268955						
PB.161551.19	Patient4	0	0	0	3	3	1	0	7	0	1450		4827.586206896552		18.0		5559.416261292564		12344.236204445102	SRSF6	0.0	100.0		0.07	0.5	0.0	0.0						
PB.161551.19	Patient5	0	0	0	4	8	17	0	29	0	1596		18170.426065162905		9.0		5559.416261292564		12344.236204445102	SRSF6	0.0	354.0		0.08192090395480225	-0.36	4.643856189774724	2.9191866752361997	1.0	1.0	1.0	1.0	1.0	
PB.161551.19	Patient6	0	0	0	2	0	3	0	5	0	1602		3121.098626716604		22.0		5559.416261292564		12344.236204445102	SRSF6	0.0	77.0		0.06493506493506493	-1.0	0.0	0.0						
PB.161551.19	Patient7	0	0	0	9	14	11	0	34	0	1726		19698.725376593276		7.0		5559.416261292564		12344.236204445102	SRSF6	0.0	262.0		0.1297709923664122	0.12	1.4949877761050625	0.9397682049793631						
PB.161551.19	Patient8	0	0	0	2	8	2	0	12	0	1359		8830.022075055187		12.0		5559.416261292564		12344.236204445102	SRSF6	0.0	217.0		0.055299539170506916	0.6	5.265131460488539	3.3097281601157107	1.0	1.0	1.0	1.0	1.0	
PB.161551.19	Patient9	0	0	0	0	0	0	0	0	0	1722		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	3.0		0.0		0.0	0.0						
PB.161551.263	Patient1	0	0	0	0	0	0	0	0	0	1717		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	95.0		0.0		0.0	0.0						
PB.161551.263	Patient10	0	0	0	0	0	0	0	0	0	1394		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	248.0		0.0		0.0	0.0						
PB.161551.263	Patient11	0	0	0	0	0	0	0	0	0	1367		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	299.0		0.0		0.0	0.0						
PB.161551.263	Patient12	0	0	0	0	0	0	0	0	0	1791		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	223.0		0.0		0.0	0.0						
PB.161551.263	Patient13	0	0	0	0	0	0	0	0	0	2218		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	387.0		0.0		0.0	0.0						
PB.161551.263	Patient14	0	0	0	0	0	0	0	0	0	1708		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	44.0		0.0		0.0	0.0						
PB.161551.263	Patient15	0	0	0	0	0	0	0	0	0	2573		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	294.0		0.0		0.0	0.0						
PB.161551.263	Patient16	0	0	0	0	0	0	0	0	0	1271		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	54.0		0.0		0.0	0.0						
PB.161551.263	Patient17	0	0	0	0	0	0	0	0	0	1227		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	25.0		0.0		0.0	0.0						
PB.161551.263	Patient18	0	0	0	0	0	0	0	0	0	1387		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	82.0		0.0		0.0	0.0						
PB.161551.263	Patient19	0	0	0	0	0	0	0	0	0	1548		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	31.0		0.0		0.0	0.0						
PB.161551.263	Patient2	0	0	0	0	0	0	0	0	0	1085		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	62.0		0.0		0.0	0.0						
PB.161551.263	Patient20	0	0	0	0	0	0	0	0	0	1738		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	81.0		0.0		0.0	0.0						
PB.161551.263	Patient21	0	0	0	0	0	0	0	0	0	1328		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	122.0		0.0		0.0	0.0						
PB.161551.263	Patient22	0	0	0	0	0	0	0	0	0	2106		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	43.0		0.0		0.0	0.0						
PB.161551.263	Patient23	0	0	0	0	0	0	0	0	0	1159		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	18.0		0.0		0.0	0.0						
PB.161551.263	Patient24	0	0	0	0	0	0	0	0	0	1661		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	41.0		0.0		0.0	0.0						
PB.161551.263	Patient25	0	0	0	0	0	0	0	0	0	1946		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	346.0		0.0		0.0	0.0						
PB.161551.263	Patient26	0	0	0	0	0	0	0	0	0	1469		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	201.0		0.0		0.0	0.0						
PB.161551.263	Patient27	0	0	0	0	0	0	0	0	0	1439		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	45.0		0.0		0.0	0.0						
PB.161551.263	Patient28	0	0	0	34	17	30	0	81	0	1202		67387.68718801996		1.0		0.0		2173.7963609038698	SRSF6	0.0	165.0		0.4909090909090909	-0.2765957446808511	4.356304669354096	5.5677643628300215	1.0	1.0	1.0	1.0	1.0	
PB.161551.263	Patient29	0	0	0	0	0	0	0	0	0	1857		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	35.0		0.0		0.0	0.0						
PB.161551.263	Patient3	0	0	0	0	0	0	0	0	0	2019		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	172.0		0.0		0.0	0.0						
PB.161551.263	Patient30	0	0	0	0	0	0	0	0	0	1808		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	127.0		0.0		0.0	0.0						
PB.161551.263	Patient31	0	0	0	0	0	0	0	0	0	1858		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	125.0		0.0		0.0	0.0						
PB.161551.263	Patient4	0	0	0	0	0	0	0	0	0	1450		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	100.0		0.0		0.0	0.0						
PB.161551.263	Patient5	0	0	0	0	0	0	0	0	0	1596		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	354.0		0.0		0.0	0.0						
PB.161551.263	Patient6	0	0	0	0	0	0	0	0	0	1602		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	77.0		0.0		0.0	0.0						
PB.161551.263	Patient7	0	0	0	0	0	0	0	0	0	1726		0.0		16.5		0.0		2173.7963609038698	SRSF6	0.0	262.0		0.0		0.0	0.0						
