associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	CycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient28	307	246	208418.194161575	204658.90183028285	1473	1202	118	102	87	88	86	72	27.0	28.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.07936507936507936	1.7171501334275392	1.099948362740642						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient29	392	544	375478.92720306513	292945.6112008616	1044	1857	120	139	133	186	181	177	7.0	19.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.022058823529411766	0.5110777235116021	-0.21330474757719886						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient3	609	838	306492.19929542026	415056.9588905399	1987	2019	210	202	197	297	276	265	17.0	7.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.012531328320802004	0.3108699396252118	-0.42510011696256556						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient30	429	512	258745.47647768396	283185.8407079646	1658	1808	142	149	138	190	166	156	24.0	21.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.03832752613240418	0.8971405224362751	0.2324784018424251						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient31	127	537	131469.97929606625	289020.45209903124	966	1858	47	36	44	185	174	178	29.0	20.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.1	1.7853107915055386	1.172054009558907						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient4	420	453	270270.27027027024	312413.7931034483	1554	1450	148	141	131	145	152	156	23.0	17.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.03676470588235294	0.8520384738968648	0.1847659460876492						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient5	559	435	350250.62656641606	218263.92373306572	1596	1993	185	191	183	151	154	130	10.0	26.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.0213903743315508	0.5247839750240495	-0.19880520842034555						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient6	657	531	410112.3595505618	309801.6336056009	1602	1714	202	234	221	179	160	192	5.0	18.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.02857142857142857	0.7249297745485723	0.050300475225428826	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient7	605	431	350521.436848204	252785.9237536657	1726	1705	184	216	205	143	155	133	9.0	24.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.026128266033254157	0.6542677637905991	-0.0618271831963602						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient8	410	257	301692.4208977189	217981.3401187447	1359	1179	143	138	129	74	93	90	18.0	27.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.033707865168539325	0.7784476815337185	0.10691588077371052						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient9	592	547	343786.29500580725	366376.42330877425	1722	1493	214	183	195	182	172	193	11.0	14.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.031746031746031744	0.7804303140100328	0.10901326365026595	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
SRSF6	Patient1	191	95	100420.60988433227	55329.062317996504	1902	1717	49	76	66	34	29	32	19.0	19.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.07042253521126761	1.434935301750135	0.2406760000228568						
SRSF6	Patient10	248	345	177905.30846484934	158256.88073394497	1394	2180	84	81	83	122	113	110	10.0	8.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.012195121951219513	0.25578837207947236	-0.6110130295054842						
SRSF6	Patient11	299	1145	218727.139722019	514375.5615453728	1367	2226	94	114	91	390	373	382	7.0	1.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.11219512195121951	2.4722403981592	0.924726018434877	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient12	223	348	124511.44611948633	173652.69461077845	1791	2004	73	73	77	107	128	113	17.0	7.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	-0.02666666666666667	0.5490204897745976	-0.4176413433904432						
SRSF6	Patient13	387	696	174481.51487826873	278957.91583166335	2218	2495	129	130	128	247	207	242	11.0	3.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.007751937984496124	0.17781516622450336	-0.6624323979105748						
SRSF6	Patient14	121	44	104220.49956933677	25761.124121779856	1161	1708	46	39	36	17	14	13	18.0	24.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.04	0.7005846958132645	-0.3176924486146792						
SRSF6	Patient15	324	294	235465.11627906974	114263.505635445	1376	2573	109	108	107	96	97	101	5.0	11.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	0.004651162790697674	0.10302634589585373	-0.7117518258203854						
